contrast,role,policy_a,policy_b,policy_a_capital,policy_b_capital,funded_union_loans,unresolved_union_loans,expected_objective_difference,realized_payoff_difference_lower,realized_payoff_difference_upper,realized_payoff_rate_difference_lower,realized_payoff_rate_difference_upper,weighted_default_difference_lower,weighted_default_difference_upper,weighted_miscoverage_difference_lower,weighted_miscoverage_difference_upper,payoff_direction_sign_robust,default_direction_sign_robust,miscoverage_direction_sign_robust,causal_interpretation,period
selected_conformal_guardrail_minus_same_threshold_point_pd,primary_oot,selected_conformal_guardrail,same_threshold_point_pd,1000000.0,1000000.0,141,0,-10001.019481831114,-22484.73080710225,-22484.73080710225,-0.02248473080710224,-0.02248473080710224,-0.0002999999999999999,-0.0002999999999999999,0.048100000000000004,0.048100000000000004,True,True,True,False,2016-07
selected_conformal_guardrail_minus_same_threshold_point_pd,primary_oot,selected_conformal_guardrail,same_threshold_point_pd,1000000.0,1000000.0,161,0,-12951.184624143702,-14030.432852719654,-14030.432852719654,-0.014030432852719649,-0.014030432852719649,-0.02575,-0.02575,0.0651,0.0651,True,True,True,False,2016-08
selected_conformal_guardrail_minus_same_threshold_point_pd,primary_oot,selected_conformal_guardrail,same_threshold_point_pd,1000000.0,1000000.0,141,0,-12324.036391218688,-20207.632437099317,-20207.632437099317,-0.02020763243709931,-0.02020763243709931,-0.017300000000000003,-0.017300000000000003,0.004699999999999999,0.004699999999999999,True,True,True,False,2016-09
selected_conformal_guardrail_minus_same_threshold_point_pd,primary_oot,selected_conformal_guardrail,same_threshold_point_pd,1000000.0,1000000.0,142,0,-13893.286407989624,5123.386681888529,5123.386681888529,0.005123386681888522,0.005123386681888522,-0.0532,-0.0532,-0.022700000000000005,-0.022700000000000005,True,True,True,False,2016-10
selected_conformal_guardrail_minus_same_threshold_point_pd,primary_oot,selected_conformal_guardrail,same_threshold_point_pd,1000000.0,1000000.0,150,0,-14409.03752733965,16208.16941005578,16208.16941005578,0.016208169410055782,0.016208169410055782,-0.07522081184956056,-0.07522081184956056,-0.036220811849560566,-0.036220811849560566,True,True,True,False,2016-11
selected_conformal_guardrail_minus_same_threshold_point_pd,primary_oot,selected_conformal_guardrail,same_threshold_point_pd,1000000.0,1000000.0,146,0,-16620.688188019354,4296.292221681018,4296.292221681018,0.004296292221681007,0.004296292221681007,-0.06075,-0.06075,0.02247500000000001,0.02247500000000001,True,True,True,False,2016-12
selected_conformal_guardrail_minus_same_threshold_point_pd,primary_oot,selected_conformal_guardrail,same_threshold_point_pd,1000000.0,1000000.0,144,0,-23366.93293302486,-22142.447508048543,-22142.447508048543,-0.02214244750804854,-0.02214244750804854,-0.04311827202946831,-0.04311827202946831,0.0053817279705316926,0.0053817279705316926,True,True,True,False,2017-01
selected_conformal_guardrail_minus_same_threshold_point_pd,primary_oot,selected_conformal_guardrail,same_threshold_point_pd,1000000.0,1000000.0,133,1,-19963.737380423816,-21901.969651860585,-14991.689651860586,-0.021901969651860583,-0.014991689651860582,-0.04875493306230025,-0.03905493306230025,0.010995066937699747,0.020695066937699753,True,True,True,False,2017-02
selected_conformal_guardrail_minus_same_threshold_point_pd,primary_oot,selected_conformal_guardrail,same_threshold_point_pd,1000000.0,1000000.0,138,0,-15327.913252336846,17742.179545655985,17742.179545655985,0.017742179545655976,0.017742179545655976,-0.094175,-0.094175,-0.07187500000000001,-0.07187500000000001,True,True,True,False,2017-03
selected_conformal_guardrail_minus_same_threshold_point_pd,primary_oot,selected_conformal_guardrail,same_threshold_point_pd,1000000.0,1000000.0,154,3,-21694.885971093376,-24984.14365825901,-5227.043658259012,-0.024984143658259003,-0.0052270436582590105,-0.048014036968029555,-0.01901403696802957,-0.02251403696802956,0.006485963031970424,True,True,False,False,2017-04
selected_conformal_guardrail_minus_same_threshold_point_pd,primary_oot,selected_conformal_guardrail,same_threshold_point_pd,1000000.0,1000000.0,166,14,-25580.370415673446,-20016.535653755454,55006.72434624455,-0.020016535653755448,0.055006724346244554,-0.15513170396926512,-0.040631703969265104,-0.06900670396926512,0.004193296030734907,False,True,False,False,2017-05
selected_conformal_guardrail_minus_same_threshold_point_pd,primary_oot,selected_conformal_guardrail,same_threshold_point_pd,1000000.0,1000000.0,158,34,-30237.169154824805,-154983.5925,7989.215730894328,-0.15498359250000002,0.007989215730894332,-0.07815110030123952,0.16137500000000002,0.028073899698760483,0.23160000000000003,False,False,True,False,2017-06
